address/city,address/state,address/zipcode,bathrooms,bedrooms,livingArea,yearBuilt,price
Seattle,WA,98133,2.0,2.0,1008.0,,2250
Seattle,WA,98122,1.0,1.0,600.0,,1490
Seattle,WA,98122,1.0,1.0,600.0,,1490
Seattle,WA,98125,2.5,3.0,1590.0,2008.0,2500
Seattle,WA,98116,1.0,1.0,,,1295
Seattle,WA,98144,1.0,1.0,583.0,,1795
Seattle,WA,98116,2.5,3.0,2000.0,,4500
Seattle,WA,98115,1.0,1.0,754.0,1974.0,1500
Seattle,WA,98144,1.0,1.0,583.0,,1795
Seattle,WA,98116,2.5,3.0,2000.0,,4500
Seattle,WA,98106,1.0,,,,1020
Seattle,WA,98101,1.0,,350.0,,1095
Seattle,WA,98101,1.0,,350.0,,1095
Seattle,WA,98125,1.0,,260.0,,895
Seattle,WA,98116,1.5,3.0,1310.0,2002.0,2700
Seattle,WA,98122,1.0,1.0,600.0,,1795
Seattle,WA,98126,1.5,3.0,1200.0,1988.0,2975
Seattle,WA,98122,1.0,1.0,600.0,,1795
Seattle,WA,98106,1.0,,,,1020
Seattle,WA,98144,2.5,3.0,1400.0,2012.0,2995
Seattle,WA,98125,2.0,3.0,1600.0,,3250
Seattle,WA,98126,1.0,,7168.0,1930.0,2500
Seattle,WA,98126,1.0,,7168.0,1930.0,2500
Seattle,WA,98144,1.0,1.0,610.0,1962.0,1550
Seattle,WA,98115,1.0,1.0,700.0,,1475
Seattle,WA,98116,1.0,2.0,1780.0,,2355
Seattle,WA,98144,2.5,3.0,1400.0,2012.0,2995
Seattle,WA,98116,1.0,2.0,1780.0,,2355
Seattle,WA,98122,3.0,3.0,1340.0,2005.0,4000
Seattle,WA,98115,1.0,1.0,750.0,1952.0,1520
Seattle,WA,98122,3.0,3.0,1340.0,2005.0,4000
Seattle,WA,98126,1.0,2.0,682.0,,1495
Seattle,WA,98126,1.0,2.0,682.0,,1495
Seattle,WA,98115,1.0,,270.0,,1200
Seattle,WA,98122,1.0,1.0,,2015.0,1705
Seattle,WA,98122,1.0,1.0,,2015.0,1705
Seattle,WA,98136,2.0,2.0,1050.0,2007.0,2000
Seattle,WA,98136,2.0,2.0,1050.0,2007.0,2000
Seattle,WA,98125,1.0,3.0,1100.0,1954.0,2400
Seattle,WA,98116,1.0,1.0,620.0,1991.0,1800
Seattle,WA,98109,1.0,,400.0,1909.0,1275
Seattle,WA,98125,1.0,3.0,1030.0,1948.0,2550
Seattle,WA,98116,1.0,1.0,620.0,1991.0,1800
Seattle,WA,98109,1.0,,400.0,1909.0,1275
Seattle,WA,98122,1.0,,,,1270
Seattle,WA,98106,2.5,2.0,1380.0,2008.0,2600
Seattle,WA,98115,1.0,2.0,1010.0,1940.0,2400
Seattle,WA,98106,2.5,2.0,1380.0,2008.0,2600
Seattle,WA,98122,1.0,,,,1270
Seattle,WA,98144,1.0,1.0,595.0,2015.0,1395
Seattle,WA,98126,1.0,2.0,780.0,1942.0,2950
Seattle,WA,98144,1.0,1.0,595.0,2015.0,1395
Seattle,WA,98115,2.0,4.0,2040.0,1928.0,3495
Seattle,WA,98126,1.0,2.0,780.0,1942.0,2950
Seattle,WA,98126,1.0,2.0,1000.0,,2000
Seattle,WA,98144,1.0,2.0,900.0,,1995
Seattle,WA,98115,1.5,3.0,1379.0,,1950
Seattle,WA,98144,1.0,2.0,900.0,,1995
Seattle,WA,98126,1.0,2.0,1000.0,,2000
Seattle,WA,98116,1.0,,500.0,1918.0,1345
Seattle,WA,98118,2.0,2.0,1275.0,,2600
Seattle,WA,98118,2.0,2.0,1275.0,,2600
Seattle,WA,98115,1.0,,456.0,1996.0,1400
Seattle,WA,98116,1.0,,500.0,1918.0,1345
Seattle,WA,98144,1.0,2.0,813.0,2014.0,2095
Seattle,WA,98116,1.0,2.0,750.0,,1595
Seattle,WA,98125,2.0,2.0,1195.0,2002.0,2150
Seattle,WA,98144,1.0,2.0,813.0,2014.0,2095
Seattle,WA,98116,1.0,2.0,750.0,,1595
Seattle,WA,98136,1.0,2.0,2000.0,1918.0,2500
Seattle,WA,98122,2.0,4.0,1350.0,1900.0,2495
Seattle,WA,98122,2.0,4.0,1350.0,1900.0,2495
Seattle,WA,98136,1.0,2.0,2000.0,1918.0,2500
Seattle,WA,98116,1.0,2.0,1100.0,1959.0,2700
Seattle,WA,98118,1.0,1.0,1060.0,2014.0,1275
Seattle,WA,98125,1.0,2.0,1100.0,1928.0,1995
Seattle,WA,98118,1.0,1.0,1060.0,2014.0,1275
Seattle,WA,98116,1.0,2.0,1100.0,1959.0,2700
Seattle,WA,98116,1.0,2.0,1150.0,1975.0,2395
Seattle,WA,98108,1.0,1.0,650.0,,1625
Seattle,WA,98115,2.0,2.0,1115.0,1979.0,1795
Seattle,WA,98116,1.0,2.0,1150.0,1975.0,2395
Seattle,WA,98108,1.0,1.0,650.0,,1625
Seattle,WA,98116,1.0,1.0,900.0,,2650
Seattle,WA,98125,1.0,2.0,1000.0,1975.0,1650
Seattle,WA,98144,2.5,2.0,930.0,2008.0,3000
Seattle,WA,98116,1.0,1.0,900.0,,2650
Seattle,WA,98144,2.5,2.0,930.0,2008.0,3000
Seattle,WA,98116,1.0,1.0,450.0,1909.0,1750
Seattle,WA,98122,1.0,2.0,930.0,,2200
Seattle,WA,98116,1.0,1.0,450.0,1909.0,1750
Seattle,WA,98125,2.5,3.0,1500.0,,2595
Seattle,WA,98122,1.0,2.0,930.0,,2200
Seattle,WA,98118,1.0,1.0,775.0,,1650
Seattle,WA,98106,3.5,3.0,1690.0,2017.0,3000
Seattle,WA,98106,3.5,3.0,1690.0,2017.0,3000
Seattle,WA,98115,1.0,2.0,850.0,,1695
Seattle,WA,98106,1.0,1.0,,,1160
Seattle,WA,98144,1.0,,259.0,2018.0,1150
Seattle,WA,98136,1.0,1.0,700.0,,1395
Seattle,WA,98136,1.0,1.0,700.0,,1395
Seattle,WA,98103,1.0,3.0,1600.0,1924.0,3450
Seattle,WA,98122,1.0,1.0,540.0,1928.0,1400
Seattle,WA,98144,1.0,,259.0,2018.0,1150
Seattle,WA,98116,1.5,3.0,1710.0,1960.0,3095
Seattle,WA,98116,1.5,3.0,1710.0,1960.0,3095
Seattle,WA,98115,1.0,2.0,850.0,1901.0,1600
Seattle,WA,98122,2.5,3.0,1530.0,1997.0,3790
Seattle,WA,98136,2.0,2.0,1220.0,,2100
Seattle,WA,98136,2.0,2.0,1220.0,,2100
Seattle,WA,98122,2.5,3.0,1530.0,1997.0,3790
Seattle,WA,98125,1.0,1.0,665.0,,1495
Seattle,WA,98144,1.5,2.0,1138.0,2016.0,3800
Seattle,WA,98144,1.5,2.0,1138.0,2016.0,3800
Seattle,WA,98125,2.0,4.0,2300.0,,4000
Seattle,WA,98136,1.0,2.0,1000.0,,1850
Seattle,WA,98136,1.0,2.0,1000.0,,1850
Seattle,WA,98122,1.0,1.0,600.0,,1695
Seattle,WA,98122,1.0,1.0,600.0,,1695
Seattle,WA,98116,1.0,2.0,1450.0,1914.0,2595
Seattle,WA,98115,1.0,2.0,716.0,,1895
Seattle,WA,98116,1.0,2.0,1450.0,1914.0,2595
Seattle,WA,98122,1.0,1.0,650.0,,1795
Seattle,WA,98122,1.0,1.0,650.0,,1795
Seattle,WA,98116,3.0,4.0,2540.0,1942.0,3300
Seattle,WA,98104,1.0,,555.0,1985.0,2350
Seattle,WA,98104,1.0,,555.0,1985.0,2350
Seattle,WA,98125,1.5,2.0,1250.0,,1900
Seattle,WA,98116,3.0,4.0,2540.0,1942.0,3300
Seattle,WA,98106,2.0,3.0,1350.0,1968.0,2800
Seattle,WA,98115,1.0,,342.0,,1193
Seattle,WA,98136,1.0,1.0,700.0,,1350
Seattle,WA,98106,2.0,3.0,1350.0,1968.0,2800
Seattle,WA,98108,1.0,2.0,850.0,1919.0,2500
Seattle,WA,98108,1.0,2.0,850.0,1919.0,2500
Seattle,WA,98103,1.0,2.0,800.0,,1545
Seattle,WA,98116,2.0,2.0,1700.0,1911.0,2800
Seattle,WA,98103,1.0,2.0,671.0,1988.0,1850
Seattle,WA,98122,1.0,1.0,735.0,,1595
Seattle,WA,98122,1.0,1.0,735.0,,1595
Seattle,WA,98116,2.0,2.0,1700.0,1911.0,2800
Seattle,WA,98115,2.5,3.0,1840.0,1986.0,2295
Seattle,WA,98144,1.0,1.0,650.0,2013.0,1600
Seattle,WA,98126,3.0,3.0,2100.0,2009.0,2990
Seattle,WA,98126,3.0,3.0,2100.0,2009.0,2990
Seattle,WA,98144,1.0,1.0,650.0,2013.0,1600
Seattle,WA,98125,1.0,1.0,500.0,,1195
Seattle,WA,98122,2.0,2.0,900.0,,1800
Seattle,WA,98126,3.0,5.0,2750.0,1921.0,4350
Seattle,WA,98126,3.0,5.0,2750.0,1921.0,4350
Seattle,WA,98122,2.0,2.0,900.0,,1800
Seattle,WA,98103,1.0,1.0,850.0,,1495
Seattle,WA,98118,1.0,2.0,960.0,1943.0,2800
Seattle,WA,98116,2.0,2.0,1100.0,,2300
Seattle,WA,98116,2.0,2.0,1100.0,,2300
Seattle,WA,98118,1.0,2.0,960.0,1943.0,2800
Seattle,WA,98115,2.0,2.0,770.0,,1895
Seattle,WA,98144,1.0,,606.0,2005.0,1495
Seattle,WA,98136,1.0,1.0,,,1200
Seattle,WA,98136,1.0,1.0,,,1200
Seattle,WA,98144,1.0,,606.0,2005.0,1495
Seattle,WA,98133,2.0,4.0,2030.0,1941.0,3000
Seattle,WA,98108,1.0,,10450.0,,3000
Seattle,WA,98116,1.0,1.0,800.0,2006.0,1895
Seattle,WA,98116,1.0,1.0,800.0,2006.0,1895
Seattle,WA,98133,1.5,2.0,1100.0,1973.0,1845
Seattle,WA,98108,1.0,,10450.0,,3000
Seattle,WA,98126,2.0,3.0,1340.0,1918.0,2795
Seattle,WA,98144,1.5,2.0,1400.0,,2200
Seattle,WA,98133,1.0,1.0,570.0,,1325
Seattle,WA,98136,1.0,2.0,820.0,1926.0,2200
Seattle,WA,98144,1.5,2.0,1400.0,,2200
Seattle,WA,98126,2.0,3.0,1340.0,1918.0,2795
Seattle,WA,98118,1.0,4.0,,,2500
Seattle,WA,98133,1.5,2.0,1000.0,1983.0,1400
Seattle,WA,98126,2.0,4.0,2620.0,1956.0,3995
Seattle,WA,98118,1.0,4.0,,,2500
Seattle,WA,98126,2.0,4.0,2620.0,1956.0,3995
Seattle,WA,98125,1.0,2.0,1000.0,,1975
Seattle,WA,98122,1.0,1.0,535.0,1908.0,1550
Seattle,WA,98126,1.0,2.0,1300.0,1947.0,1999
Seattle,WA,98122,1.0,1.0,535.0,1908.0,1550
Seattle,WA,98126,1.0,2.0,1300.0,1947.0,1999
Seattle,WA,98125,1.0,1.0,,,1395
Seattle,WA,98116,1.0,1.0,665.0,1964.0,1495
Seattle,WA,98144,1.0,1.0,650.0,,1500
Seattle,WA,98116,1.0,1.0,665.0,1964.0,1495
Seattle,WA,98144,1.0,1.0,650.0,,1500
Seattle,WA,98133,2.0,4.0,2000.0,1940.0,3700
Seattle,WA,98116,2.0,2.0,1480.0,2016.0,3950
Seattle,WA,98116,2.0,2.0,1480.0,2016.0,3950
Seattle,WA,98144,1.5,2.0,1000.0,2007.0,2500
Seattle,WA,98144,1.5,2.0,1000.0,2007.0,2500
