address/city,address/state,address/zipcode,bathrooms,bedrooms,livingArea,yearBuilt,price
San Francisco,CA,94122,3.0,4.0,2124.0,1951.0,6000
San Francisco,CA,94122,1.0,,350.0,,1550
San Francisco,CA,94114,2.0,4.0,1949.0,1939.0,7500
San Francisco,CA,94122,1.0,2.0,9999.0,1963.0,3200
San Francisco,CA,94117,1.0,,550.0,1900.0,1895
San Francisco,CA,94117,1.0,1.0,,,2950
San Francisco,CA,94114,1.0,2.0,1000.0,,3550
San Francisco,CA,94114,2.0,3.0,1500.0,,5800
San Francisco,CA,94122,2.0,3.0,1200.0,,3600
San Francisco,CA,94122,1.0,3.0,1221.0,1940.0,4000
San Francisco,CA,94122,1.0,1.0,,,2750
San Francisco,CA,94122,1.0,1.0,601.0,1960.0,2400
San Francisco,CA,94114,1.0,,250.0,,1875
San Francisco,CA,94114,1.0,2.0,,,3950
San Francisco,CA,94114,1.0,1.0,750.0,1913.0,3200
San Francisco,CA,94117,1.0,,,,2195
San Francisco,CA,94117,1.0,1.0,,,2545
San Francisco,CA,94117,1.0,,,1913.0,1925
San Francisco,CA,94117,2.0,3.0,1342.0,1958.0,4995
San Francisco,CA,94114,2.0,3.0,925.0,,3995
San Francisco,CA,94117,2.0,4.0,1200.0,,5195
San Francisco,CA,94117,2.5,3.0,1960.0,1902.0,8500
San Francisco,CA,94116,1.5,2.0,1550.0,1926.0,3800
San Francisco,CA,94114,1.0,,411.0,,2095
San Francisco,CA,94117,1.0,2.0,1011.0,1900.0,3750
San Francisco,CA,94116,2.5,3.0,1493.0,2001.0,3795
San Francisco,CA,94131,2.0,2.0,1100.0,,3395
San Francisco,CA,94117,2.5,4.0,2300.0,,7985
San Francisco,CA,94117,3.0,3.0,1200.0,,4995
San Francisco,CA,94131,1.0,2.0,1200.0,1907.0,4095
San Francisco,CA,94116,1.0,3.0,,,3500
San Francisco,CA,94117,1.0,2.0,,1905.0,2498
San Francisco,CA,94114,1.0,,,,2095
San Francisco,CA,94117,1.0,,450.0,,2095
San Francisco,CA,94122,1.0,2.0,758.0,,3400
San Francisco,CA,94114,1.0,1.0,,,2700
San Francisco,CA,94122,1.0,1.0,,,2495
San Francisco,CA,94114,2.0,2.0,,,4700
San Francisco,CA,94131,1.0,1.0,,,2000
San Francisco,CA,94131,1.0,1.0,800.0,1886.0,2500
San Francisco,CA,94122,1.0,1.0,,,2795
San Francisco,CA,94116,3.0,3.0,,,3500
San Francisco,CA,94118,1.0,3.0,,1988.0,3200
San Francisco,CA,94117,2.0,2.0,1250.0,,4950
San Francisco,CA,94117,1.0,1.0,515.0,,1995
San Francisco,CA,94117,1.0,1.0,,,4895
San Francisco,CA,94117,1.0,1.0,,1904.0,2700
San Francisco,CA,94117,1.0,1.0,500.0,,2345
San Francisco,CA,94122,1.0,1.0,,,2650
San Francisco,CA,94131,,,592.0,1972.0,2495
San Francisco,CA,94114,1.0,1.0,,,2500
San Francisco,CA,94122,1.0,,450.0,,2300
San Francisco,CA,94114,1.0,1.0,730.0,,2700
San Francisco,CA,94117,1.0,2.0,900.0,,3400
San Francisco,CA,94117,1.0,2.0,1000.0,,2895
San Francisco,CA,94114,1.0,,6040.0,1908.0,2500
San Francisco,CA,94116,1.0,1.0,650.0,1926.0,2998
San Francisco,CA,94114,2.0,3.0,1700.0,,7500
San Francisco,CA,94122,1.0,2.0,,,2850
San Francisco,CA,94122,1.0,2.0,2700.0,1980.0,4400
San Francisco,CA,94118,1.0,1.0,550.0,1964.0,2450
San Francisco,CA,94117,1.0,1.0,,,2500
San Francisco,CA,94114,2.0,2.0,1000.0,,4900
San Francisco,CA,94116,1.0,1.0,600.0,,1950
San Francisco,CA,94122,2.0,3.0,870.0,2002.0,4000
San Francisco,CA,94117,3.0,4.0,,,6395
San Francisco,CA,94122,1.0,1.0,,,2995
San Francisco,CA,94117,1.0,1.0,700.0,,2900
San Francisco,CA,94118,2.0,3.0,,,3795
San Francisco,CA,94117,1.0,2.0,,1907.0,3795
San Francisco,CA,94117,1.0,3.0,1800.0,1901.0,4700
San Francisco,CA,94122,1.0,2.0,768.0,,3095
San Francisco,CA,94117,1.5,3.0,,,6250
San Francisco,CA,94118,1.0,2.0,900.0,1996.0,3200
San Francisco,CA,94117,1.0,1.0,600.0,,2500
San Francisco,CA,94118,2.0,5.0,1600.0,1906.0,6900
San Francisco,CA,94131,2.0,3.0,2012.0,1948.0,7800
San Francisco,CA,94122,1.0,2.0,1450.0,1940.0,2100
San Francisco,CA,94117,1.0,2.0,,,4250
San Francisco,CA,94122,1.0,,,,2200
San Francisco,CA,94117,1.0,1.0,650.0,,2599
San Francisco,CA,94131,2.0,1.0,800.0,1961.0,3200
San Francisco,CA,94114,1.0,3.0,1600.0,,5300
San Francisco,CA,94114,1.0,2.0,800.0,,3300
San Francisco,CA,94131,1.0,,592.0,,2800
San Francisco,CA,94114,2.0,2.0,1700.0,,4400
San Francisco,CA,94114,1.0,2.0,,,3800
San Francisco,CA,94117,1.5,2.0,,,5500
San Francisco,CA,94117,1.0,,,,1900
San Francisco,CA,94118,1.0,2.0,,,3100
San Francisco,CA,94131,1.0,,375.0,,1895
San Francisco,CA,94114,3.0,6.0,,,10497
San Francisco,CA,94114,2.5,3.0,1850.0,1908.0,7750
San Francisco,CA,94122,1.0,2.0,750.0,1965.0,2895
San Francisco,CA,94117,2.0,3.0,2283.0,1900.0,6500
San Francisco,CA,94131,1.0,1.0,600.0,,2250
San Francisco,CA,94117,1.0,1.0,,1908.0,2800
San Francisco,CA,94122,1.0,1.0,,,2100
San Francisco,CA,94131,2.0,3.0,1360.0,1960.0,5030
San Francisco,CA,94114,1.0,1.0,,1960.0,2450
San Francisco,CA,94117,1.0,,550.0,,2450
San Francisco,CA,94117,1.0,1.0,,,2450
San Francisco,CA,94117,1.0,,,,2050
San Francisco,CA,94122,2.0,2.0,,,3495
San Francisco,CA,94122,1.0,2.0,,,2600
San Francisco,CA,94116,1.0,3.0,1200.0,,3600
San Francisco,CA,94114,1.0,1.0,600.0,1961.0,2975
San Francisco,CA,94114,1.0,2.0,1100.0,,3500
San Francisco,CA,94122,1.0,1.0,,,1450
San Francisco,CA,94117,1.0,3.0,1225.0,,4150
San Francisco,CA,94114,1.0,1.0,825.0,,2800
San Francisco,CA,94122,1.5,2.0,1100.0,,3300
San Francisco,CA,94114,3.0,3.0,2570.0,1940.0,29000
San Francisco,CA,94117,1.0,1.0,650.0,,3500
San Francisco,CA,94122,1.0,1.0,700.0,,2500
San Francisco,CA,94117,1.0,,600.0,,2600
San Francisco,CA,94117,1.0,1.0,,1908.0,2498
San Francisco,CA,94117,1.0,1.0,,,2698
San Francisco,CA,94122,2.0,3.0,,,4000
San Francisco,CA,94114,1.0,2.0,1100.0,1890.0,5395
San Francisco,CA,94117,2.0,2.0,1030.0,1986.0,5495
San Francisco,CA,94131,2.5,3.0,2350.0,1948.0,6800
San Francisco,CA,94117,2.0,3.0,1700.0,,6995
San Francisco,CA,94117,1.0,1.0,,,2700
San Francisco,CA,94114,1.0,1.0,,,2450
San Francisco,CA,94117,1.0,1.0,660.0,,2800
San Francisco,CA,94122,1.0,,,,2150
San Francisco,CA,94117,1.5,3.0,1500.0,,4850
San Francisco,CA,94117,1.0,3.0,,,4195
San Francisco,CA,94131,3.5,4.0,2800.0,1914.0,7650
San Francisco,CA,94131,3.0,3.0,1650.0,,5995
San Francisco,CA,94122,1.0,2.0,900.0,,3250
San Francisco,CA,94121,2.0,2.0,1350.0,2007.0,4100
San Francisco,CA,94117,1.0,1.0,,,2895
San Francisco,CA,94117,1.0,3.0,1500.0,,4595
San Francisco,CA,94114,1.0,1.0,600.0,,2950
San Francisco,CA,94116,1.0,2.0,,1975.0,2920
San Francisco,CA,94117,1.0,1.0,811.0,1924.0,3650
San Francisco,CA,94117,2.0,3.0,1900.0,,6300
San Francisco,CA,94117,1.0,1.0,750.0,1904.0,2375
San Francisco,CA,94131,1.0,1.0,725.0,,3100
San Francisco,CA,94114,1.0,2.0,1000.0,,4150
San Francisco,CA,94114,1.0,1.0,780.0,,2650
San Francisco,CA,94114,2.0,3.0,,,4495
San Francisco,CA,94117,1.0,1.0,600.0,,2425
San Francisco,CA,94117,1.5,4.0,,,4800
San Francisco,CA,94131,3.5,4.0,2500.0,1980.0,8400
San Francisco,CA,94122,1.0,3.0,1630.0,1938.0,4500
San Francisco,CA,94114,1.0,2.0,1180.0,1925.0,7495
San Francisco,CA,94114,1.0,1.0,800.0,1941.0,3500
San Francisco,CA,94116,1.0,,600.0,1926.0,1800
San Francisco,CA,94117,1.0,2.0,,1909.0,3195
San Francisco,CA,94122,1.0,1.0,,,2595
San Francisco,CA,94114,1.0,2.0,1033.0,,3790
San Francisco,CA,94117,2.0,5.0,,,6895
San Francisco,CA,94114,2.0,3.0,2000.0,,7900
San Francisco,CA,94121,2.0,3.0,1300.0,,4195
San Francisco,CA,94117,1.0,1.0,829.0,,3495
San Francisco,CA,94122,1.0,1.0,,,2299
San Francisco,CA,94116,1.0,,429.0,,2195
San Francisco,CA,94121,1.0,,,,2000
San Francisco,CA,94131,1.0,1.0,800.0,1956.0,2300
San Francisco,CA,94117,1.0,,465.0,,2795
