address/city,address/state,address/zipcode,bathrooms,bedrooms,livingArea,yearBuilt,price
Los Angeles,CA,91306,2.0,3.0,1276.0,2020.0,3300
Los Angeles,CA,91324,3.0,4.0,1768.0,1957.0,3950
Los Angeles,CA,91306,2.0,2.0,1100.0,,2395
Los Angeles,CA,91335,1.0,1.0,400.0,,2200
Los Angeles,CA,91324,2.5,3.0,1576.0,1979.0,3300
Los Angeles,CA,91304,3.5,5.0,3087.0,1995.0,6000
Los Angeles,CA,91367,4.5,6.0,6452.0,1991.0,14899
Los Angeles,CA,91311,1.0,1.0,670.0,1986.0,1750
Los Angeles,CA,91335,2.0,3.0,1420.0,1953.0,2999
Los Angeles,CA,91307,2.0,3.0,1789.0,1956.0,3500
Los Angeles,CA,91303,2.0,2.0,1221.0,,1920
Los Angeles,CA,91324,1.0,,440.0,,1495
Los Angeles,CA,91306,1.0,1.0,700.0,1949.0,2250
Los Angeles,CA,91335,2.0,4.0,1374.0,1977.0,2950
Los Angeles,CA,91306,2.0,2.0,1021.0,1982.0,2900
Los Angeles,CA,91304,2.0,4.0,1570.0,1959.0,3245
Los Angeles,CA,91306,1.5,4.0,1450.0,1955.0,3200
Los Angeles,CA,91304,2.0,2.0,950.0,,1995
Los Angeles,CA,91306,1.0,1.0,600.0,,1900
Los Angeles,CA,91335,2.0,2.0,800.0,,2100
Los Angeles,CA,91306,2.0,2.0,880.0,1988.0,2195
Los Angeles,CA,91335,1.0,,,,695
Los Angeles,CA,91304,2.0,4.0,1790.0,1959.0,3350
Los Angeles,CA,91335,2.0,2.0,1276.0,,2750
Los Angeles,CA,91335,1.0,3.0,1036.0,1950.0,3000
Los Angeles,CA,91303,1.0,1.0,750.0,,1600
Los Angeles,CA,91367,2.0,4.0,1938.0,1965.0,3500
Los Angeles,CA,91307,1.0,1.0,750.0,,1750
Los Angeles,CA,91311,2.0,3.0,1200.0,2020.0,3295
Los Angeles,CA,91367,2.5,2.0,1585.0,1973.0,2900
Los Angeles,CA,91304,1.0,1.0,650.0,,1450
Los Angeles,CA,91307,2.0,2.0,887.0,1985.0,2300
Los Angeles,CA,91311,2.5,2.0,1520.0,1980.0,2400
Los Angeles,CA,91326,2.0,3.0,2019.0,2003.0,4750
Los Angeles,CA,91304,1.0,1.0,,,1550
Los Angeles,CA,91406,1.0,1.0,760.0,,1795
Los Angeles,CA,91324,1.0,2.0,930.0,1960.0,2100
Los Angeles,CA,91304,1.0,1.0,,,1550
Los Angeles,CA,91401,3.0,3.0,1600.0,1988.0,3795
Los Angeles,CA,91344,1.5,2.0,1125.0,1985.0,2095
Los Angeles,CA,91304,1.0,1.0,,,1550
Los Angeles,CA,91316,1.0,2.0,803.0,1949.0,2500
Los Angeles,CA,91303,1.0,1.0,,,1425
Los Angeles,CA,91405,1.0,1.0,700.0,,1295
Los Angeles,CA,91304,2.0,2.0,,,1750
Los Angeles,CA,91325,1.0,2.0,850.0,,1795
Los Angeles,CA,91311,2.0,2.0,1068.0,,2995
Los Angeles,CA,91405,1.0,2.0,,,1695
Los Angeles,CA,91335,2.0,3.0,1296.0,1955.0,3500
Los Angeles,CA,91331,2.0,3.0,1136.0,2020.0,3000
Los Angeles,CA,93063,4.0,4.0,4180.0,1974.0,16500
Los Angeles,CA,91411,3.5,3.0,1450.0,1913.0,3450
Los Angeles,CA,91311,1.0,,660.0,2014.0,1650
Los Angeles,CA,91405,1.0,,552.0,,1295
Los Angeles,CA,91405,1.0,1.0,825.0,,1495
Los Angeles,CA,91311,1.5,1.0,,,1800
Los Angeles,CA,91326,3.0,3.0,2450.0,,9500
Los Angeles,CA,91401,2.0,3.0,1352.0,1947.0,3000
Los Angeles,CA,91406,1.0,1.0,600.0,,1400
Los Angeles,CA,91405,2.0,4.0,1858.0,,3600
Los Angeles,CA,91367,3.0,2.0,1338.0,1980.0,3200
Los Angeles,CA,91356,3.0,3.0,2023.0,1982.0,3500
Los Angeles,CA,91356,3.0,2.0,1570.0,1984.0,2850
Los Angeles,CA,91364,3.0,4.0,2980.0,1963.0,3500
Los Angeles,CA,91406,2.0,2.0,1502.0,1950.0,3300
Los Angeles,CA,91364,2.0,3.0,1542.0,1956.0,3800
Los Angeles,CA,91367,1.0,1.0,610.0,1987.0,1900
Los Angeles,CA,90272,3.0,3.0,2352.0,1952.0,13000
Los Angeles,CA,91367,2.0,3.0,1500.0,1960.0,3395
Los Angeles,CA,91316,3.0,3.0,2028.0,,4850
Los Angeles,CA,91364,2.5,2.0,1000.0,,2250
Los Angeles,CA,91367,2.5,3.0,1572.0,1960.0,4000
Los Angeles,CA,90272,1.0,2.0,900.0,,3290
Los Angeles,CA,91335,1.0,,429.0,,1558
Los Angeles,CA,91364,1.0,1.0,895.0,1976.0,2400
Los Angeles,CA,90272,3.0,3.0,2500.0,1958.0,8200
Los Angeles,CA,91364,2.5,4.0,1970.0,1961.0,4150
Los Angeles,CA,90272,5.5,5.0,4757.0,2008.0,15000
Los Angeles,CA,91406,1.0,1.0,600.0,,1250
Los Angeles,CA,90272,3.0,3.0,2929.0,,20000
Los Angeles,CA,91325,2.0,4.0,1637.0,1956.0,3300
Los Angeles,CA,91356,3.0,3.0,2521.0,1938.0,10500
Los Angeles,CA,91335,1.0,1.0,,,1900
Los Angeles,CA,91367,2.0,2.0,961.0,1977.0,2600
Los Angeles,CA,91367,1.0,,440.0,,1650
Los Angeles,CA,91405,1.0,2.0,1012.0,,1825
Los Angeles,CA,91367,2.0,2.0,920.0,,2395
Los Angeles,CA,91325,1.0,1.0,500.0,,2050
Los Angeles,CA,91364,2.0,2.0,,,1950
Los Angeles,CA,91405,2.0,2.0,1155.0,,2350
Los Angeles,CA,91364,2.5,3.0,1750.0,,4500
Los Angeles,CA,91411,2.0,3.0,1220.0,1946.0,2800
Los Angeles,CA,90272,4.0,4.0,4638.0,1992.0,12995
Los Angeles,CA,91325,3.5,3.0,1617.0,2020.0,3400
Los Angeles,CA,90272,2.0,3.0,2200.0,1954.0,11000
Los Angeles,CA,91405,1.0,1.0,,,1450
Los Angeles,CA,91367,2.0,3.0,1050.0,1987.0,2650
Los Angeles,CA,91335,1.0,,550.0,1953.0,1400
Los Angeles,CA,91367,2.0,2.0,1130.0,1980.0,2800
Los Angeles,CA,91411,2.0,3.0,1459.0,1956.0,3400
Los Angeles,CA,91367,1.0,,550.0,,1750
Los Angeles,CA,91344,2.0,4.0,1570.0,1959.0,3200
Los Angeles,CA,90272,2.0,2.0,1502.0,,4700
Los Angeles,CA,91325,3.5,6.0,3770.0,1956.0,8500
Los Angeles,CA,90272,4.5,5.0,4000.0,1986.0,17000
Los Angeles,CA,91331,3.0,4.0,1123.0,1955.0,3100
Los Angeles,CA,91367,2.0,4.0,2239.0,1953.0,4650
Los Angeles,CA,91405,1.0,2.0,780.0,,2150
Los Angeles,CA,91367,2.0,3.0,1670.0,1955.0,3500
Los Angeles,CA,90272,2.0,3.0,1716.0,1954.0,7800
Los Angeles,CA,91405,1.0,1.0,400.0,1963.0,1668
Los Angeles,CA,90272,3.0,2.0,3085.0,1950.0,35000
